,School_Name,School_District,School_Address,School_Phone_Number,Principal_FName,Principal_LName,Grades,School_Type,Super_Phone_Number,Super_FName,Super_LName
1409,Swansboro Elementary,Richmond Public Schools,"3160 Midlothian Tnpk Richmond, VA 23224-1926",804-780-5030,Theron,Sampson,PK-5,Elementary,804-780-7700,Jason,Kamras
1410,Westover Hills Elementary,Richmond Public Schools,"1211 Jahnke Rd Richmond, VA 23225-2918",804-780-5002,Allison El,Koubi,PK-5,Elementary,804-780-7700,Jason,Kamras
1411,William Fox Elementary,Richmond Public Schools,"2300 Hanover Ave Richmond, VA 23220-3497",804-780-6259,Daniela,Jacobs,PK-5,Elementary,804-780-7700,Jason,Kamras
1412,Woodville Elementary,Richmond Public Schools,"2000 N 28th St Richmond, VA 23223-4599",804-780-4821,Rickeita,Jones,PK-5,Elementary,804-780-7700,Jason,Kamras
1413,Albert Hill Middle,Richmond Public Schools,"3400 Patterson Ave Richmond, VA 23221-2399",804-780-6107,Tashiana,Ivy,6-8,Middle,804-780-7700,Jason,Kamras
1414,Binford Middle,Richmond Public Schools,"1701 Floyd Ave Richmond, VA 23220-4623",804-780-6231,Melissa,Rickey,6-8,Middle,804-780-7700,Jason,Kamras
1415,Henderson Middle,Richmond Public Schools,"4319 Old Brook Rd Richmond, VA 23227-3896",804-780-8288,Antoine,London,6-8,Middle,804-780-7700,Jason,Kamras
1416,Lucille M. Brown Middle,Richmond Public Schools,"6300 Jahnke Rd Richmond, VA 23225",804-319-3013,Stacy,Gaines,6-8,Middle,804-780-7700,Jason,Kamras
1417,Martin Luther King Jr. Middle,Richmond Public Schools,"1000 Mosby St Richmond, VA 23223-5099",804-780-8011,Inett,Dabney,6-8,Middle,804-780-7700,Jason,Kamras
1418,River City Middle,Richmond Public Schools,"6300 Hull Street Rd Richmond, VA 23224",804-272-7554,Jacquelyn,Murphy,6-8,Middle,804-780-7700,Jason,Kamras
1419,Thomas C. Boushall Middle,Richmond Public Schools,"3400 Hopkins Rd Richmond, VA 23234-2404",804-780-5016,Latonya,Waller,6-8,Middle,804-780-7700,Jason,Kamras
1420,Armstrong High,Richmond Public Schools,"2300 Cool Lane Richmond, VA 23223-4196",804-780-4449,Willie,Bell,9-12,High,804-780-7700,Jason,Kamras
1421,George Wythe High,Richmond Public Schools,"4314 Crutchfield St Richmond, VA 23225-4767",804-780-5037,Riddick,Parker,9-12,High,804-780-7700,Jason,Kamras
1422,Huguenot High,Richmond Public Schools,"7945 Forest Hill Ave Richmond, VA 23225-1998",804-320-7967,Robert,Gilstrap,9-12,High,804-780-7700,Jason,Kamras
1423,John Marshall High,Richmond Public Schools,"4225 Old Brook Rd Richmond, VA 23227-3898",804-780-6052,Monica,Murray,9-12,High,804-780-7700,Jason,Kamras
1424,Open High,Richmond Public Schools,"600 S Pine St Richmond, VA 23220-6501",804-780-4661,Clary,Carleton,9-12,High,804-780-7700,Jason,Kamras
1425,Richmond Community High,Richmond Public Schools,"201 E Brookland Park Boulevard Richmond, VA 23222-2722",804-285-1015,Kenya,Massenburg,9-12,High,804-780-7700,Jason,Kamras
1426,Thomas Jefferson High,Richmond Public Schools,"4100 W Grace St Richmond, VA 23230-3802",804-780-6028,Cherita,Sears,9-12,High,804-780-7700,Jason,Kamras
1427,Franklin Military Academy,Richmond Public Schools,"701 North 37th Street Richmond, VA 23223",804-780-4968,David,Hudson,6-12,Combined,804-780-7700,Jason,Kamras
1428,Amelia Street Special Education,Richmond Public Schools,"1821 Amelia St Richmond, VA 23220-6696",804-780-6275,Mark,Phillips,PK-12,Combined,804-780-7700,Jason,Kamras
1429,Richmond Alternative,Richmond Public Schools,"119 West Leigh Street, Richmond, VA 23220",804-780-4388,Lamont,Trotter,6-12,Combined,804-780-7700,Jason,Kamras
1430,Patrick Henry School Of Science And Arts,Richmond Public Schools,"3411 Semmes Avenue Richmond, VA 23225-3425",804-888-7061,Tarnee,Hudson,KG-5,Elementary,804-780-7700,Jason,Kamras
1431,Richmond Career Education and Employment Charter School,Richmond Public Schools,"4314 Crutchfield Street Richmond, VA 23225",804-780-5037,Maurice,Burton,9-12,High,804-780-7700,Jason,Kamras
1432,Martin Luther King Jr. Early Learning Center,Richmond Public Schools,"900 Mosby Street Richmond, VA 23223",804-648-5959,Crystal (804) 648-5959,Hartsfield,PK,Elementary,804-780-7700,Jason,Kamras
1433,Maymont Pre-K Center,Richmond Public Schools,"1211 S. Allen Ave. Richmond, VA 23220-6799",804-780-6263,Victoria,Hampton,PK,Elementary,804-780-7700,Jason,Kamras
1434,Summer Hill Preschool Center,Richmond Public Schools,"2717 Alexander Avenue Richmond, VA 23234",804-780-4593,Kelly,Tobe,PK,Elementary,804-780-7700,Jason,Kamras
1435,Back Creek Elementary,Roanoke County Public Schools,"7130 Bent Mountain Rd Roanoke, VA 24018",540-772-7565,Virginia,Sharp,PK-5,Elementary,540-562-3900,Ken,Nicely
1436,Bonsack Elementary,Roanoke County Public Schools,"5437 Crumpacker Dr Roanoke, VA 24019",540-977-5870,Leanne,Leftwich,PK-5,Elementary,540-562-3900,Ken,Nicely
1437,Burlington Elementary,Roanoke County Public Schools,"6533 Peters Creek Rd Roanoke, VA 24019",540-561-8165,Angela (Beth),Grim,PK-5,Elementary,540-562-3900,Ken,Nicely
1438,Cave Spring Elementary,Roanoke County Public Schools,"5404 Springlawn Ave Roanoke, VA 24018",540-772-7558,Jodi,Poff,PK-5,Elementary,540-562-3900,Ken,Nicely
1439,Clearbrook Elementary,Roanoke County Public Schools,"5205 Franklin Rd Roanoke, VA 24014",540-772-7555,Julie,Noell,PK-5,Elementary,540-562-3900,Ken,Nicely
1440,Fort Lewis Elementary,Roanoke County Public Schools,"3115 West Main St Salem, VA 24153",540-387-6594,Kim,Smith,PK-5,Elementary,540-562-3900,Ken,Nicely
1441,Glen Cove Elementary,Roanoke County Public Schools,"5901 Cove Rd Roanoke, VA 24019",540-561-8135,April,Young,PK-5,Elementary,540-562-3900,Ken,Nicely
1442,Glenvar Elementary,Roanoke County Public Schools,"4507 Malus Dr Salem, VA 24153",540-387-6540,Matthew,Johnson,PK-5,Elementary,540-562-3900,Ken,Nicely
1443,Green Valley Elementary,Roanoke County Public Schools,"3838 Overdale Rd Roanoke, VA 24018",540-772-7556,Kim,Bradshaw,PK-5,Elementary,540-562-3900,Ken,Nicely
1444,Herman L. Horn Elementary,Roanoke County Public Schools,"1002 Ruddell Rd Vinton, VA 24179",540-857-5007,Julie,Sandzimier,PK-5,Elementary,540-562-3900,Ken,Nicely
1445,Mason's Cove Elementary,Roanoke County Public Schools,"3370 Bradshaw Rd Salem, VA 24153",540-387-6530,Amy,Phelps,PK-5,Elementary,540-562-3900,Ken,Nicely
1446,Mount Pleasant Elementary,Roanoke County Public Schools,"3216 Mt Pleasant Blvd Roanoke, VA 24014",540-427-1879,Jill,Lane,PK-5,Elementary,540-562-3900,Ken,Nicely
1447,Mountain View Elementary,Roanoke County Public Schools,"5901 Plantation Circle Roanoke, VA 24019",540-561-8175,Valerie,Close,PK-5,Elementary,540-562-3900,Ken,Nicely
1448,Oak Grove Elementary,Roanoke County Public Schools,"5005 Grandin Rd Extension Roanoke, VA 24018",540-772-7580,Cindy,Klimaitis,PK-5,Elementary,540-562-3900,Ken,Nicely
1449,Penn Forest Elementary,Roanoke County Public Schools,"6328 Merriman Rd Roanoke, VA 24018",540-772-7590,Jennifer,Griffin,PK-5,Elementary,540-562-3900,Ken,Nicely
1450,W.E. Cundiff Elementary,Roanoke County Public Schools,"1200 Hardy Rd Vinton, VA 24179",540-857-5009,Ashley,McCallum,PK-5,Elementary,540-562-3900,Ken,Nicely
1451,Cave Spring Middle,Roanoke County Public Schools,"4880 Brambleton Ave Roanoke, VA 24018",540-772-7560,Fiona,Hill,6-8,Middle,540-562-3900,Ken,Nicely
1452,Glenvar Middle,Roanoke County Public Schools,"4555 Malus Dr Salem, VA 24153",540-387-6322,Amy,Duff,6-8,Middle,540-562-3900,Ken,Nicely
1453,Hidden Valley Middle,Roanoke County Public Schools,"4902 Hidden Valley School Rd Roanoke, VA 24018",540-772-7570,Christopher,Benson,6-8,Middle,540-562-3900,Ken,Nicely
1454,Northside Middle,Roanoke County Public Schools,"6810 Northside High School Rd Roanoke, VA 24019",540-561-8145,Paul,Lineburg,6-8,Middle,540-562-3900,Ken,Nicely
1455,William Byrd Middle,Roanoke County Public Schools,"2910 Washington Ave Vinton, VA 24179",540-890-1035,Dana,Stevens,6-8,Middle,540-562-3900,Ken,Nicely
1456,Cave Spring High,Roanoke County Public Schools,"3712 Chaparral Dr Roanoke, VA 24018",540-772-7550,Haley,Deeds,9-12,High,540-562-3900,Ken,Nicely
1457,Glenvar High,Roanoke County Public Schools,"4549 Malus Dr Salem, VA 24153",540-387-6536,Corie,Franklin,9-12,High,540-562-3900,Ken,Nicely
1458,Hidden Valley High,Roanoke County Public Schools,"5000 Titan Trail Roanoke, VA 24018",540-776-7320,Josh,Whitlow,9-12,High,540-562-3900,Ken,Nicely
1459,Northside High,Roanoke County Public Schools,"6758 Northside High School Rd Roanoke, VA 24019",540-561-8155,Jill,Green,9-12,High,540-562-3900,Ken,Nicely
1460,William Byrd High,Roanoke County Public Schools,"2902 Washington Ave Vinton, VA 24179",540-890-3090,Tammy,Newcomb,9-12,High,540-562-3900,Ken,Nicely
1461,Crystal Spring Elementary,Roanoke Public Schools,"2620 Carolina Ave SW Roanoke, VA 24014",540-853-2976,Jason,Rooney,PK-5,Elementary,540-853-2381,Verletta,White
1462,Fairview Elementary,Roanoke Public Schools,"648 Westwood Blvd NW Roanoke, VA 24017",540-853-2978,Kurrai,Thompson,PK-5,Elementary,540-853-2381,Verletta,White
1463,Fallon Park Elementary,Roanoke Public Schools,"502 19th St SE Roanoke, VA 24013",540-853-2535,John,Otey,PK-5,Elementary,540-853-2381,Verletta,White
1464,Fishburn Park Elementary,Roanoke Public Schools,"3057 Colonial Ave SW Roanoke, VA 24015",540-853-2931,Jason,Wimbush,PK-5,Elementary,540-853-2381,Verletta,White
1465,Garden City Elementary,Roanoke Public Schools,"3718 Garden City Blvd SE Roanoke, VA 24014",540-853-2971,Caroline,Williams,PK-5,Elementary,540-853-2381,Verletta,White
1466,Grandin Court Elementary,Roanoke Public Schools,"2815 Spessard Ave SW Roanoke, VA 24015",540-853-2867,William,Krause,KG-5,Elementary,540-853-2381,Verletta,White
1467,Highland Park Elementary,Roanoke Public Schools,"1212 5th St SW Roanoke, VA 24016",540-853-2963,Kelly,Rooney,PK-5,Elementary,540-853-2381,Verletta,White
1468,Hurt Park Elementary,Roanoke Public Schools,"1525 Salem Ave SW Roanoke, VA 24016",540-853-2986,Danielle,Allen,PK-5,Elementary,540-853-2381,Verletta,White
1469,Lincoln Terrace Elementary,Roanoke Public Schools,"1802 Liberty Rd NW Roanoke, VA 24012",540-853-2994,Kirsten,Mills,PK-5,Elementary,540-853-2381,Verletta,White
1470,Monterey Elementary,Roanoke Public Schools,"4501 Oliver Rd NE Roanoke, VA 24012",540-853-2933,Morgan,Johnson-Strother,KG-5,Elementary,540-853-2381,Verletta,White
1471,Morningside Elementary,Roanoke Public Schools,"1716 Wilson Avenue, SE Roanoke, VA 24013",540-853-2991,Megan,Arthur,PK-5,Elementary,540-853-2381,Verletta,White
1472,Preston Park Elementary,Roanoke Public Schools,"3142 Preston Avenue, NW Roanoke, VA 24012",540-853-2996,Eric,Fisher,PK-5,Elementary,540-853-2381,Verletta,White
1473,Roanoke Academy For Mathematics & Science Elementary,Roanoke Public Schools,"1616 Nineteenth Street, NW Roanoke, VA 24017",540-853-2751,Toni,Belton,PK-5,Elementary,540-853-2381,Verletta,White
1474,Round Hill Elementary,Roanoke Public Schools,"2020 Oakland Boulevard Roanoke, VA 24012",540-853-2756,Brenda,Russ,PK-5,Elementary,540-853-2381,Verletta,White
1475,Virginia Heights Elementary,Roanoke Public Schools,"1210 Amherst Ave SW Roanoke, VA 24015",540-853-2937,Teresa,Schmitt,PK-5,Elementary,540-853-2381,Verletta,White
1476,Wasena Elementary,Roanoke Public Schools,"1125 Sherwood Ave SW Roanoke, VA 24015",540-853-2914,Marina,Seal,PK-5,Elementary,540-853-2381,Verletta,White
1477,Westside Elementary,Roanoke Public Schools,"1441 Westside Blvd NW Roanoke, VA 24017",540-853-2967,Kristen,English,PK-5,Elementary,540-853-2381,Verletta,White
1478,Addison Aerospace Magnet Middle,Roanoke Public Schools,"1220 5th Street NW Roanoke, VA 24016",540-853-2681,Jonathan,Rosser,6-8,Middle,540-853-2381,Verletta,White
1479,Breckinridge Middle,Roanoke Public Schools,"3901 Williamson Rd NW Roanoke, VA 24012",540-853-2251,Joshua,Dowdy,6-8,Middle,540-853-2381,Verletta,White
1480,James Madison Middle,Roanoke Public Schools,"1160 Overland Rd SW Roanoke, VA 24015",540-853-2351,Katherine,Duncan,6-8,Middle,540-853-2381,Verletta,White
1481,John P. Fishwick Middle,Roanoke Public Schools,"1004 Montrose Ave SE Roanoke, VA 24013",540-853-6040,Ryan,Loose,6-8,Middle,540-853-2381,Verletta,White
1482,Woodrow Wilson Middle,Roanoke Public Schools,"1813 Carter Rd SW Roanoke, VA 24015",540-853-2358,Bradley,Jenkins,6-8,Middle,540-853-2381,Verletta,White
1483,Patrick Henry High,Roanoke Public Schools,"2102 Grandin Rd SW Roanoke, VA 24015",540-853-2255,Karen,Leslie,9-12,High,540-853-2381,Verletta,White
1484,William Fleming High,Roanoke Public Schools,"3649 Ferncliff Ave NW Roanoke, VA 24017",540-853-2781,Tracey,Anderson,9-12,High,540-853-2381,Verletta,White
1485,Central Elementary,Rockbridge County Public Schools,"85 Central Road Lexington, VA 24450",540-463-4500,Robin,Parker,PK-5,Elementary,540-463-7386,Phillip,Thompson
1486,Fairfield Elementary,Rockbridge County Public Schools,"20 Fairfield School Rd Fairfield, VA 24435",540-348-5202,Lauren,Fauber,PK-5,Elementary,540-463-7386,Phillip,Thompson
1487,Mountain View Elementary,Rockbridge County Public Schools,"20 Burger Circle Buena Vista, VA 24416",540-261-2418,Melanie,Camden,PK-5,Elementary,540-463-7386,Phillip,Thompson
1488,Natural Bridge Elementary,Rockbridge County Public Schools,"42 Natural Bridge School Rd. Natural Bridge Station, VA 24479",540-291-2292,Rick,Bain,PK-5,Elementary,540-463-7386,Phillip,Thompson
1489,Maury River Middle,Rockbridge County Public Schools,"600 Waddell St Lexington, VA 24450",540-463-3129,Vicki,Stevens,6-8,Middle,540-463-7386,Phillip,Thompson
1490,Rockbridge County High,Rockbridge County Public Schools,"143 Greenhouse Rd Lexington, VA 24450-8806",540-463-5555,Michael,Craft,9-12,High,540-463-7386,Phillip,Thompson
1491,Cub Run Elementary,Rockingham County Public Schools,"1451 South Montevideo Circle Penn Laird, VA 22846",540-289-5854,Sharon,Martz,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1492,Elkton Elementary,Rockingham County Public Schools,"302 B Street Elkton, VA 22827",540-298-1511,Barbara,Palmer,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1493,Fulks Run Elementary,Rockingham County Public Schools,"11089 Brocks Gap Rd Fulks Run, VA 22830",540-896-7635,Alisa,Sims,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1494,John C. Myers Elementary,Rockingham County Public Schools,"290 Raider Rd Broadway, VA 22815",540-896-2297,Rebecca,Tinnell,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1495,John W. Wayland Elementary,Rockingham County Public Schools,"801 North Main St Bridgewater, VA 22812",540-828-6081,Sara,Hammill,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1496,Lacey Spring Elementary,Rockingham County Public Schools,"8621 North Valley Pike Harrisonburg, VA 22802",540-433-7819,Tammy,May,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1497,Linville-Edom Elementary,Rockingham County Public Schools,"3653 Linville-Edom Rd Linville, VA 22834",540-833-6916,Karen,Ridder,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1498,McGaheysville Elementary,Rockingham County Public Schools,"9508 Spotswood Trail McGaheysville, VA 22840",540-289-3004,Leslie,Kapuchuck,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1499,Mountain View Elementary,Rockingham County Public Schools,"2800 Rawley Pike Harrisonburg, VA 22801",540-438-1965,Drew,Miller,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1500,Ottobine Elementary,Rockingham County Public Schools,"8646 Waggys Creek Rd Dayton, VA 22821",540-879-2091,Tonya,Parker,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1501,Peak View Elementary,Rockingham County Public Schools,"641 Lawyer Rd. Penn Laird, VA 22846",540-289-7510,Joseph,Kapuchuck,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1502,Plains Elementary,Rockingham County Public Schools,"225 American Legion Dr Timberville, VA 22853",540-896-8956,Todd,Johnson,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1503,Pleasant Valley Elementary,Rockingham County Public Schools,"215 Pleasant Valley Rd Harrisonburg, VA 22801",540-434-4557,Pam,Dowrey,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1504,River Bend Elementary,Rockingham County Public Schools,"14556 Rockingham Pike Elkton, VA 22827",540-298-5301,Blair,Harper,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1505,South River Elementary,Rockingham County Public Schools,"2101 Elm Ave Grottoes, VA 24441",540-249-4001,Kenny,Boyers,PK-5,Elementary,540-564-3200,Oskar,Scheikl
1506,Elkton Middle,Rockingham County Public Schools,"21063 Blue and Gold Dr Elkton, VA 22827",540-298-1228,Emily,Holloway,6-8,Middle,540-564-3200,Oskar,Scheikl
1507,J. Frank Hillyard Middle,Rockingham County Public Schools,"226 Hawks Hill Drive Broadway, VA 22815",540-896-8961,David,Baker,6-8,Middle,540-564-3200,Oskar,Scheikl
1508,Montevideo Middle,Rockingham County Public Schools,"7648 McGaheysville Rd Penn Laird, VA 22846",540-289-3401,Jackie,Baker,6-8,Middle,540-564-3200,Oskar,Scheikl
1509,Wilbur S. Pence Middle,Rockingham County Public Schools,"375 Bowman Road Dayton, VA 22821",540-879-2535,John,Childs,6-8,Middle,540-564-3200,Oskar,Scheikl
1510,Broadway High,Rockingham County Public Schools,"269 Gobbler Dr Broadway, VA 22815",540-896-7081,Donna,Abernathy,9-12,High,540-564-3200,Oskar,Scheikl
1511,East Rockingham High,Rockingham County Public Schools,"250 Eagle Rock Road Elkton, VA 22827",540-298-7450,Marc,Sweigart,9-12,High,540-564-3200,Oskar,Scheikl
1512,Spotswood High,Rockingham County Public Schools,"368 Blazer Drive Penn Laird, VA 22846",540-289-3100,Robert,Dansey,9-12,High,540-564-3200,Oskar,Scheikl
1513,Turner Ashby High,Rockingham County Public Schools,"800 N Main St Bridgewater, VA 22812",540-828-2008,Chris,Noll,9-12,High,540-564-3200,Oskar,Scheikl
1514,Belfast Elementary,Russell County Public Schools,"646 Belfast School Rd. Rosedale, VA 24280",276-880-2283,Christy,Bowman,KG-5,Elementary,276-889-6500,Kim,Hooker
1515,Castlewood Elementary,Russell County Public Schools,"242 Blue Devil Circle Castlewood, VA 24224",276-762-2315,Adam,Padgett,2-7,Elementary,276-889-6500,Kim,Hooker
1516,Copper Creek Elementary,Russell County Public Schools,"23894 U.S. highway 58 Castlewood, VA 24224",276-794-9306,Adam,Padgett,PK-1,Elementary,276-889-6500,Kim,Hooker
1517,Honaker Elementary,Russell County Public Schools,"50 Honaker Elementary Dr. Honaker, VA 24260",276-873-6301,Jennifer,Eaton,PK-7,Elementary,276-889-6500,Kim,Hooker
1518,Lebanon Elementary,Russell County Public Schools,"56 George Ben Whited Drive Lebanon, VA 24266",276-889-6531,Tabitha,Long,2-4,Elementary,276-889-6500,Kim,Hooker
1519,Lebanon Middle,Russell County Public Schools,"53 George Ben Whited Dr. Lebanon, VA 24266",276-889-6548,Nathan,Breeding,5-7,Elementary,276-889-6500,Kim,Hooker
1520,Lebanon Primary,Russell County Public Schools,"919 East Main Street Lebanon, VA 24266",276-889-4507,Rebecca,Sykes,PK-1,Elementary,276-889-6500,Kim,Hooker
1521,Swords Creek Elementary,Russell County Public Schools,"3867 Swords Creek Rd. Swords Creek, VA 24649",276-991-0016,Seth,Gent,PK-7,Elementary,276-889-6500,Kim,Hooker
1522,Castlewood High,Russell County Public Schools,"304 Blue Devil Circle Castlewood, VA 24224",276-762-9449,Jarrod,Sparks,8-12,High,276-889-6500,Kim,Hooker
1523,Honaker High,Russell County Public Schools,"1795 Thompson Creek Rd. Honaker, VA 24266",276-873-6363,Anthony,Bush,8-12,High,276-889-6500,Kim,Hooker
1524,Lebanon High,Russell County Public Schools,"105 Charles C Long Drive Lebanon, VA 24266",276-889-6539,Joseph,Long,8-12,High,276-889-6500,Kim,Hooker
1525,East Salem Elementary,Salem Public Schools,"1765 Boulevard Salem, VA 24153-6489",540-375-7001,Hunter,Routt,PK-5,Elementary,540-389-0130,Curtis,Hicks
1526,G.W. Carver Elementary,Salem Public Schools,"6 Fourth St Salem, VA 24153-5079",540-387-2492,Kristyn,Schmidt,PK-5,Elementary,540-389-0130,Curtis,Hicks
1527,South Salem Elementary,Salem Public Schools,"1600 Carolyn Rd Salem, VA 24153-5999",540-387-2478,Laura,James,PK-5,Elementary,540-389-0130,Curtis,Hicks
1528,West Salem Elementary,Salem Public Schools,"520 N Bruffey St Salem, VA 24153-2598",540-387-2503,Amanda Griffin,Gibson,KG-5,Elementary,540-389-0130,Curtis,Hicks
1529,Andrew Lewis Middle,Salem Public Schools,"616 South College Ave Salem, VA 24153-5090",540-387-2513,James,Garst,6-8,Middle,540-389-0130,Curtis,Hicks
1530,Salem High,Salem Public Schools,"400 Spartan Dr Salem, VA 24153-3296",540-387-2437,Scott,Habeeb,9-12,High,540-389-0130,Curtis,Hicks
1531,Duffield-Pattonsville Primary,Scott County Public Schools,"663 Duffield-Pattonsville Highway Highway 23 and St. Rte 58 Duffield, VA 24244",276-431-2244,Christy,Miller,KG-4,Elementary,276-386-6118,John,Ferguson
1532,Dungannon Elementary School,Scott County Public Schools,"113 Fifth Avenue Highway 65 and St. Rte 72 Dungannon, VA 24245",276-467-2281,Travis,Nickels,3-7,Elementary,276-386-6118,John,Ferguson
1533,Fort Blackmore Primary,Scott County Public Schools,"214 Big Stoney Creek Road Fort Blackmore, VA 24250",276-995-2471,Travis,Nickels,PK-2,Elementary,276-386-6118,John,Ferguson
1534,Hilton Elementary,Scott County Public Schools,"303 Academy Rd. Highway 58 Hiltons, VA 24258",276-386-7430,Kelsey,Taylor,KG-6,Elementary,276-386-6118,John,Ferguson
1535,Nickelsville Elementary,Scott County Public Schools,"11415 Nickesville Hwy Highway 71 Nickelsville, VA 24271",276-479-2676,Tracy,Stallard,KG-7,Elementary,276-386-6118,John,Ferguson
1536,Rye Cove Intermediate,Scott County Public Schools,"158 Memorial School Lane Clinchport, VA 24244",276-940-2322,Jennifer,Meade,5-7,Elementary,276-386-6118,John,Ferguson
1537,Shoemaker Elementary,Scott County Public Schools,"218 Shoemaker Dr Gate City, VA 24251",276-386-7002,Renee,Dishner,KG-6,Elementary,276-386-6118,John,Ferguson
1538,Weber City Elementary,Scott County Public Schools,"322 Jennings St Weber City, VA 24290",276-386-7981,Laura,Pyne,KG-6,Elementary,276-386-6118,John,Ferguson
1539,Yuma Elementary,Scott County Public Schools,"130 Grover Cleveland Lane Gate City, VA 24251",276-386-3109,Valerie,Babb,KG-6,Elementary,276-386-6118,John,Ferguson
1540,Gate City Middle,Scott County Public Schools,"170 Harry Fry Drive Gate City, VA 24251",276-386-6065,Amy,Sallee,7-8,Middle,276-386-6118,John,Ferguson
1541,Gate City High,Scott County Public Schools,"178 Harry Fry Dr. Gate City, VA 24251",276-386-7522,Scott,Vermillion,9-12,High,276-386-6118,John,Ferguson
1542,Rye Cove High,Scott County Public Schools,"164 Eagles Nest Lane Duffield, VA 24244",276-940-2701,Christopher,Stapleton,8-12,High,276-386-6118,John,Ferguson
1543,Twin Springs High,Scott County Public Schools,"273 Titan Lane Nickelsville, VA 24271",276-479-2185,Jordan,Mullins,8-12,High,276-386-6118,John,Ferguson
1544,Honey Run Elementary,Shenandoah County Public Schools,"480 Stonewall Lane Quicksburg, VA 22847-1422",540-477-2927,Tiffani,Utz,PK-4,Elementary,540-459-6222,Melody,Sheppard
1545,North Fork Middle,Shenandoah County Public Schools,"1018 Caverns Road Quicksburg, VA 22847-1419",540-477-2953,Annmarie,Noonan,5-7,Elementary,540-459-6222,Melody,Sheppard
1546,Sandy Hook Elementary,Shenandoah County Public Schools,"162 Stickley Loop Strasburg, VA 22657",540-465-8281,Gary,Painter,PK-5,Elementary,540-459-6222,Melody,Sheppard
1547,W.W. Robinson Elementary,Shenandoah County Public Schools,"1231 Susan Avenue Woodstock, VA 22664",540-459-5155,Robin,Shrum,PK-5,Elementary,540-459-6222,Melody,Sheppard
1548,Peter Muhlenberg Middle,Shenandoah County Public Schools,"1251 Susan Ave Woodstock, VA 22664",540-459-2941,Ryan,Lingle,6-8,Middle,540-459-6222,Melody,Sheppard
1549,Signal Knob Middle,Shenandoah County Public Schools,"687 Sandy Hook Road Strasburg, VA 22657",540-465-3422,Holly,Rusher,6-8,Middle,540-459-6222,Melody,Sheppard
1550,Central High,Shenandoah County Public Schools,"1147 Susan Avenue Woodstock, VA 22664",540-459-2161,Lori,Swortzel,9-12,High,540-459-6222,Melody,Sheppard
1551,Mountain View High,Shenandoah County Public Schools,"150 Stonewall Ln Quicksburg, VA 22847-1429",540-477-2732,Michael,Dorman,8-12,High,540-459-6222,Melody,Sheppard
1552,Strasburg High,Shenandoah County Public Schools,"250 Ram Drive Strasburg, VA 22657",540-465-5195,Melissa,Foltz,9-12,High,540-459-6222,Melody,Sheppard
1553,Atkins Elementary,Smyth County Public Schools,"5903 Lee Hwy Atkins, VA 24311",276-783-3366,Gary,Roberts,PK-5,Elementary,276-783-3791,Dennis,Carter
1554,Chilhowie Elementary,Smyth County Public Schools,"130 East Lee Hwy Chiilhowie, VA 24319",276-646-8220,Jerad,Ward,PK-5,Elementary,276-783-3791,Dennis,Carter
1555,Marion Elementary,Smyth County Public Schools,"188 Star Mountain Dr Marion, VA 24354",276-783-3021,Sue,Davidson,PK-5,Elementary,276-783-3791,Dennis,Carter
1556,Oak Point Elementary,Smyth County Public Schools,"138 OAK POINT DR Marion, VA 24354",276-783-2609,Jennifer,Sayers,PK-5,Elementary,276-783-3791,Dennis,Carter
1557,Rich Valley Elementary,Smyth County Public Schools,"196 Long Hollow Rd Saltville, VA 24370",276-624-3314,Tamela,Hahn,PK-5,Elementary,276-783-3791,Dennis,Carter
1558,Saltville Elementary,Smyth County Public Schools,"1013 E Main St Saltville, VA 24370",276-496-4751,Mitzi,Frye,PK-5,Elementary,276-783-3791,Dennis,Carter
1559,Sugar Grove Elementary,Smyth County Public Schools,"242 Teas Rd Sugar Grove, VA, VA 24375",276-677-3311,Amy,Wheeler,PK-5,Elementary,276-783-3791,Dennis,Carter
1560,Chilhowie Middle,Smyth County Public Schools,"1162 East Lee Hwy Chilhowie, VA 24319",276-646-3942,Sam,Blevins,6-8,Middle,276-783-3791,Dennis,Carter
1561,Marion Middle,Smyth County Public Schools,"134 Wilden St Marion, VA 24354",276-783-4466,Edwina,Richardson,6-8,Middle,276-783-3791,Dennis,Carter
1562,Northwood Middle,Smyth County Public Schools,"156 Long Hollow Rd Saltville, VA 24370",276-624-3341,Mariann,Blevins,6-8,Middle,276-783-3791,Dennis,Carter
1563,Chilhowie High,Smyth County Public Schools,"1160 East Lee Hwy Chilhowie, VA 24319",276-646-8966,Rocky,Baker,9-12,High,276-783-3791,Dennis,Carter
